date,pt,Trough month (Trough Quarter),peak month number,Trough month number,Expansion_t2p,Cycle_t2t,Cycle_p2p
1857-06-01,-18,December 1858 (1858Q4),690,708,30,48,
1858-12-01,30,,,,,,
1860-10-01,-8,June 1861 (1861Q3),730,738,22,30,40
1861-06-01,22,,,,,,
1865-04-01,-32,December 1867 (1868Q1),784,816,46,78,54
1867-12-01,46,,,,,,
1869-06-01,-18,December 1870 (1870Q4),834,852,18,36,50
1870-12-01,18,,,,,,
1873-10-01,-65,March 1879 (1879Q1),886,951,34,99,52
1879-03-01,34,,,,,,
1882-03-01,-38,May 1885 (1885Q2),987,1025,36,74,101
1885-05-01,36,,,,,,
1887-03-01,-13,April 1888 (1888Q1),1047,1060,22,35,60
1885-04-01,22,,,,,,
1890-07-01,-10,May 1891 (1891Q2),1087,1097,27,37,40
1891-05-01,27,,,,,,
1893-01-01,-17,June 1894 (1894Q2),1117,1134,20,37,30
1894-06-01,20,,,,,,
1895-12-01,-18,June 1897 (1897Q2),1152,1170,18,36,35
1897-06-01,18,,,,,,
1899-06-01,-18,December 1900 (1900Q4),1194,1212,24,42,42
1900-12-01,24,,,,,,
1902-09-01,-23,August 1904 (1904Q3),1233,1256,21,44,39
1904-08-01,21,,,,,,
1907-05-01,-13,June 1908 (1908Q2),1289,1302,33,46,56
1908-06-01,33,,,,,,
1910-01-01,-24,January 1912 (1911Q4),1321,1345,19,43,32
1912-01-01,19,,,,,,
1913-01-01,-23,December 1914 (1914Q4),1357,1380,12,35,36
1914-12-01,12,,,,,,
1918-08-01,-7,March 1919 (1919Q1),1424,1431,44,51,67
1919-03-01,44,,,,,,
1920-01-01,-18,July 1921 (1921Q3),1441,1459,10,28,17
1921-07-01,10,,,,,,
1923-05-01,-14,July 1924 (1924Q3),1481,1495,22,36,40
1924-07-01,22,,,,,,
1926-10-01,-13,November 1927 (1927Q4),1522,1535,27,40,41
1927-11-01,27,,,,,,
1929-08-01,-43,March 1933 (1933Q1),1556,1599,21,64,34
1933-03-01,21,,,,,,
1937-05-01,-13,June 1938 (1938Q2),1649,1662,50,63,93
1938-06-01,50,,,,,,
1945-02-01,-8,October 1945 (1945Q4),1742,1750,80,88,93
1945-10-01,80,,,,,,
1948-11-01,-11,October 1949 (1949Q4),1787,1798,37,48,45
1949-10-01,37,,,,,,
1953-07-01,-10,May 1954 (1954Q2),1843,1853,45,55,56
1954-05-01,45,,,,,,
1957-08-01,-8,April 1958 (1958Q2),1892,1900,39,47,49
1958-04-01,39,,,,,,
1960-04-01,-10,February 1961 (1961Q1),1924,1934,24,34,32
1961-02-01,24,,,,,,
1969-12-01,-11,November 1970 (1970Q4),2040,2051,106,117,116
1970-11-01,106,,,,,,
1973-11-01,-16,March 1975 (1975Q1),2087,2103,36,52,47
1975-03-01,36,,,,,,
1980-01-01,-6,July 1980 (1980Q3),2161,2167,58,64,74
1980-07-01,58,,,,,,
1981-07-01,-16,November 1982 (1982Q4),2179,2195,12,28,18
1982-11-01,12,,,,,,
1990-07-01,-8,March 1991 (1991Q1),2287,2295,92,100,108
1991-03-01,92,,,,,,
2001-03-01,-8,November 2001 (2001Q4),2415,2423,120,128,128
2001-11-01,120,,,,,,
2007-12-01,-18,June 2009 (2009Q2),2496,2514,73,91,81
2009-06-01,73,,,,,,
2020-02-01,-2,April 2020 (2020Q1),2642,2644,128,130,146
2020-04-01,128,,,,,,
